id,chap_id,section_id,no
313,3,33,13
314,3,33,14
315,3,33,15
316,3,33,16
317,3,33,17
318,3,33,18
319,3,33,19
320,3,33,20
321,3,33,21
322,3,33,22
323,3,33,23
324,3,33,24
325,3,33,25
326,3,33,26
327,3,33,27
328,3,33,28
329,3,33,29
330,3,33,30
331,3,33,31
332,3,33,32
333,3,33,33
334,3,33,34
335,3,33,35
336,3,33,36
337,3,33,37
338,3,34,38
339,3,34,39
340,3,34,40
341,3,34,41
342,3,34,42
343,3,34,43
344,3,34,44
345,3,34,45
347,3,34,47
348,3,34,48
349,3,34,49
350,3,35,50
351,3,35,51
352,3,35,52
353,3,35,53
354,3,35,54
355,3,35,55
356,3,35,56
357,3,35,57
358,3,35,58
359,3,35,59
360,3,35,60
361,3,35,61
362,3,35,62
363,3,35,63
364,3,35,64
365,3,35,65
366,3,35,66
367,3,35,67
368,3,35,68
369,3,35,69
370,3,35,70
371,3,35,71
372,3,35,72
373,3,35,73
374,3,35,74
375,3,35,75
376,3,35,76
377,3,35,77
378,3,35,78
379,3,35,79
380,3,35,80
381,3,35,81
382,3,35,82
401,4,41,1
402,4,41,2
403,4,41,3
404,4,41,4
405,4,41,5
406,4,41,6
407,4,41,7
408,4,41,8
409,4,41,9
410,4,41,10
411,4,41,11
412,4,41,12
413,4,41,13
414,4,41,14
415,4,41,15
416,4,41,16
417,4,41,17
418,4,41,18
419,4,41,19
420,4,41,20
421,4,41,21
422,4,41,22
423,4,41,23
424,4,41,24
425,4,42,25
426,4,42,26
427,4,42,27
428,4,42,28
429,4,42,29
430,4,42,30
431,4,42,31
432,4,42,32
433,4,42,33
434,4,42,34
435,4,43,35
436,4,43,36
437,4,43,37
438,4,43,38
439,4,43,39
440,4,43,40
441,4,43,41
442,4,43,42
443,4,43,43
444,4,43,44
445,4,43,45
446,4,43,46
447,4,43,47
448,4,43,48
449,4,43,49
450,4,43,50
451,4,43,51
452,4,43,52
453,4,43,53
454,4,43,54
455,4,44,55
456,4,44,56
457,4,44,57
458,4,44,58
459,4,44,59
460,4,44,60
461,4,44,61
462,4,44,62
463,4,44,63
464,4,44,64
465,4,44,65
466,4,44,66
467,4,44,67
468,4,44,68
469,4,44,69
470,4,44,70
471,4,44,71
472,4,44,72
473,4,44,73
474,4,44,74
475,4,44,75
476,4,44,76
477,4,44,77
478,4,44,78
479,4,44,79
501,5,51,1
502,5,51,2
503,5,51,3
504,5,51,4
505,5,51,5
506,5,51,6
507,5,52,7
508,5,52,8
509,5,52,9
510,5,52,10
511,5,52,11
512,5,52,12
513,5,52,13
514,5,52,14
515,5,52,15
516,5,52,16
517,5,52,17
518,5,52,18
519,5,52,19
520,5,53,20
521,5,53,21
522,5,53,22
523,5,54,23
524,5,54,24
525,5,54,25
526,5,54,26
527,5,54,27
528,5,54,28
529,5,54,29
530,5,54,30
531,5,55,31
532,5,55,32
533,5,55,33
534,5,55,34
535,5,55,35
536,5,55,36
537,5,55,37
538,5,55,38
539,5,55,39
540,5,55,40
541,5,55,41
542,5,55,42
543,5,55,43
544,5,55,44
545,5,55,45
546,5,55,46
547,5,55,47
548,5,55,48
549,5,55,49
550,5,55,50
551,5,55,51
552,5,55,52
